Make,Model,Type,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02
Prius,PHEV,PHEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911,1654,1086,695,688,1047,1652,1889,1766,1361,874,693,786,599,678,584,817,1791,1152,2095,1100,919,803,1041,1452,1741,2692,1571,1371,818,353,479,451,492,401,397,473,428,727,464,584,344,216,91,44,22,10,6,7,4,4,11,4,2,4,0,781,1641,1366,1362
Ford,C-Max Energi,PHEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,1259,971,338,334,494,411,450,455,433,621,758,1092,941,827,471,552,610,525,782,988,831,1050,677,644,644,659,395,498,715,553,715,667,693,723,719,695,639,579,350,490,610,607,538,630,755,707,689,571,721,1289,473,639
Honda,Accord,PHEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,26,55,58,42,54,44,51,71,68,38,27,24,18,37,46,28,41,46,42,34,43,63,28,12,5,5,5,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford,Fusion Energi,PHEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,119,295,364,416,390,407,600,750,1087,870,791,533,779,899,743,1342,1939,1226,1222,640,686,752,789,426,603,837,711,986,727,852,949,808,849,944,1058,581,932,1238,1331,1453,1700,1341,1422,1652,1372,1817,1099,606,837
Porsche,Panamera S E-Hybrid,PHEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,47,141,57,56,63,53,111,63,68,82,97,57,31,61,40,44,30,21,34,23,36,41,28,33,16,27,33,23,25,26,22,21,59,28,38,88,3,2,1
Cadillac,ELR,PHEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,41,58,81,61,52,97,188,196,111,152,155,118,92,127,92,104,116,62,66,45,36,82,67,135,67,91,104,95,45,94,15,6,6,3,5,3,3,0
BMW,i8,PHEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,58,204,126,158,85,113,143,138,117,137,217,210,182,149,118,656,32,54,89,130,146,169,166,145,158,199,173,133,50,58
Porsche,Cayenne S E-hybrid,PHEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,67,83,106,72,88,111,89,77,83,70,126,121,137,146,172,244,237,191,176,148,197,131,138,179,152,177,121
Mercedes-Benz,S550 Plug,PHEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,17,25,21,35,19,36,12,29,27,27,32,30,41,174,52,71,55,51
Volvo,XC90 Plug In,PHEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,7,74,226,176,178,150,110,166,178,176,148,142,161,204,96,83
